Fan | Description | Notes | Points
Mixed Double Chow | Two same-numbered chows in two suits. |  | 1
Short Straight | Two chows, which together have six consecutive numbers. |  | 1
Two Terminal Chows | 123 and 789 chows in one suit. |  | 1
Pung of Terminals or Honors | A pung or kong of 1s, 9s or winds |  | 1
Melded Kong |  | Does not combine with concealed pung-, kong- or melded kong-based fan, except with unrelated pungs or kongs. | 1
One Voided Suit |  | Does not combine with All Green or Reversible Tiles. | 1
No Honors |  | Does not combine with Upper Tiles, Middle Tiles, Lower Tiles, Upper Four or Lower Four. | 1
Edge Wait | Waiting for only one type of tile, which completes a 123 or 789 chow with a 3 or 7. |  | 1
Closed Wait | Waiting for only one type of tile, which completes a chow in the middle. |  | 1
Single Wait | Waiting for only one type of tile, which completes a pair. | Does not combine with Thirteen Orphans. | 1
Self-drawn | Winning with a drawn tile. | Does not combine with Last Tile Draw or Out with Replacement Tile. | 1
Flower Tiles |  |  | 1
